|             Blake-28 ||   C ||   C ||  3844 ||   53 || ||  224 ||  512 ||    373 ||   7002 ||  109.41 ||   8032 || || || 
|             Blake-32 ||   C ||   C ||  3844 ||   53 || ||  256 ||  512 ||    374 ||   7002 ||  109.41 ||   8100 || || || 
|             Blake-48 ||   C ||   C ||  7444 ||  101 || ||  384 || 1024 ||    904 ||  29987 ||  234.27 ||  35709 || || || 
|             Blake-64 ||   C ||   C ||  7444 ||  101 || ||  512 || 1024 ||    905 ||  29987 ||  234.27 ||  38219 || || || 
| BlueMidnightWish-224 ||   C ||   C ||  6024 ||   68 || ||  224 ||  512 ||    434 ||   4324 ||   67.56 ||   5801 || || || 
| BlueMidnightWish-256 ||   C ||   C ||  6024 ||   68 || ||  256 ||  512 ||    434 ||   4317 ||   67.45 ||   5829 || || || 
| BlueMidnightWish-384 ||   C ||   C || 15128 ||  132 || ||  384 || 1024 ||   1967 ||  58353 ||  455.88 ||  57419 || || || 
| BlueMidnightWish-512 ||   C ||   C || 15128 ||  132 || ||  512 || 1024 ||   1968 ||  58353 ||  455.88 ||  57538 || || || 
|                  MD5 ||   C ||   C ||  2494 ||   20 || ||  128 ||  512 ||     69 ||  42863 ||  669.73 ||  43607 || || || 
|                  MD5 || asm || asm ||  1686 ||   20 || ||  128 ||  512 ||     69 ||  18265 ||  285.39 ||  18861 || || || 
|                SHA-1 ||   C ||   C ||  2596 ||   28 || ||  160 ||  512 ||     89 ||  15622 ||  244.09 ||  19835 || || || 
|                SHA-1 || asm || asm ||  1070 ||   28 || ||  160 ||  512 ||    215 ||  40595 ||  634.30 ||  41180 || || || 
|              SHA-256 ||   C ||   C ||  2910 ||   40 || ||  256 ||  512 ||    255 ||  49632 ||  775.50 ||  53840 || || || 
|              SHA-256 || asm || asm ||  1604 ||   40 || ||  256 ||  512 ||    335 ||  54334 ||  848.97 ||  55025 || || || 
|           Shabal-192 ||   C ||   C ||  2290 ||  188 || ||  192 ||  512 ||   1547 ||  59601 ||  931.27 ||  37261 || || || 
|           Shabal-192 || asm || asm ||  1580 ||  188 || ||  192 ||  512 ||   1059 ||  13708 ||  214.19 ||  51707 || || || 
|           Shabal-224 ||   C ||   C ||  2290 ||  188 || ||  224 ||  512 ||   1547 ||  59601 ||  931.27 ||  37293 || || || 
|           Shabal-224 || asm || asm ||  1580 ||  188 || ||  224 ||  512 ||   1059 ||  13708 ||  214.19 ||  51735 || || || 
|           Shabal-256 ||   C ||   C ||  2290 ||  188 || ||  256 ||  512 ||   1547 ||  59601 ||  931.27 ||  37325 || || || 
|           Shabal-256 || asm || asm ||  1580 ||  188 || ||  256 ||  512 ||   1059 ||  13708 ||  214.19 ||  51763 || || || 
|           Shabal-384 ||   C ||   C ||  2290 ||  188 || ||  384 ||  512 ||   1547 ||  59608 ||  931.38 ||  37453 || || || 
|           Shabal-384 || asm || asm ||  1580 ||  188 || ||  384 ||  512 ||   1059 ||  13708 ||  214.19 ||  51875 || || || 
|           Shabal-512 ||   C ||   C ||  2290 ||  188 || ||  512 ||  512 ||   1547 ||  59608 ||  931.38 ||  37581 || || || 
|           Shabal-512 || asm || asm ||  1578 ||  188 || ||  512 ||  512 ||   1059 ||  13708 ||  214.19 ||  51985 || || || 
|      Skein-1024-1024 ||   C ||   C ||  6472 ||  146 || || 1024 || 1024 ||  56657 ||  51864 ||  405.19 || 104945 || || || 
|      Skein-1024-1024 || asm || asm ||  2486||  146 || || 1024 || 1024 ||  28983 ||  26256 ||  205.12 ||  51980 || || || 
|       Skein-1024-128 ||   C ||   C ||  6472 ||  146 || ||  128 || 1024 ||  56657 ||  51871 ||  405.24 || 104049 || || || 
|       Skein-1024-128 || asm || asm ||  2486 ||  146 || ||  128 || 1024 ||  28983 ||  26263 ||  205.18 ||  51194 || || || 
|       Skein-1024-160 ||   C ||   C ||  6472 ||  146 || ||  160 || 1024 ||  56657 ||  51871 ||  405.24 || 104081 || || || 
|       Skein-1024-160 || asm || asm ||  2486 ||  146 || ||  160 || 1024 ||  28983 ||  26256 ||  205.12 ||  51222 || || || 
|       Skein-1024-224 ||   C ||   C ||  6472 ||  146 || ||  224 || 1024 ||  56657 ||  51871 ||  405.24 || 104145 || || || 
|       Skein-1024-224 || asm || asm ||  2486 ||  146 || ||  224 || 1024 ||  28983 ||  26256 ||  205.12 ||  51285 || || || 
|       Skein-1024-256 ||   C ||   C ||  6472 ||  146 || ||  256 || 1024 ||  56657 ||  51871 ||  405.24 || 104177 || || || 
|       Skein-1024-256 || asm || asm ||  2486 ||  146 || ||  256 || 1024 ||  28983 ||  26263 ||  205.18 ||  51306 || || || 
|       Skein-1024-384 ||   C ||   C ||  6472 ||  146 || ||  384 || 1024 ||  56657 ||  51864 ||  405.19 || 104305 || || || 
|       Skein-1024-384 || asm || asm ||  2486 ||  146 || ||  384 || 1024 ||  28976 ||  26263 ||  205.18 ||  51418 || || || 
|       Skein-1024-512 ||   C ||   C ||  6472 ||  146 || ||  512 || 1024 ||  56657 ||  51864 ||  405.19 || 104433 || || || 
|       Skein-1024-512 || asm || asm ||  2486 ||  146 || ||  512 || 1024 ||  28983 ||  26256 ||  205.12 ||  51530 || || || 
|        Skein-256-128 ||   C ||   C ||  4656 ||   50 || ||  128 ||  256 ||  35854 ||  33299 || 1040.59 ||  65698 || || || 
|        Skein-256-128 || asm || asm ||  2052 ||   50 || ||  128 ||  256 ||  42999 ||  42003 || 1312.59 ||  84618 || || || 
|        Skein-256-160 ||   C ||   C ||  4656 ||   50 || ||  160 ||  256 ||  35861 ||  33292 || 1040.38 ||  65730 || || || 
|        Skein-256-160 || asm || asm ||  2052 ||   50 || ||  160 ||  256 ||  42999 ||  42003 || 1312.59 ||  84653 || || || 
|        Skein-256-224 ||   C ||   C ||  4656 ||   50 || ||  224 ||  256 ||  35861 ||  33292 || 1040.38 ||  65794 || || || 
|        Skein-256-224 || asm || asm ||  2052 ||   50 || ||  224 ||  256 ||  43006 ||  42003 || 1312.59 ||  84709 || || || 
|        Skein-256-256 ||   C ||   C ||  4656 ||   50 || ||  256 ||  256 ||  35861 ||  33292 || 1040.38 ||  65826 || || || 
|        Skein-256-256 || asm || asm ||  2052 ||   50 || ||  256 ||  256 ||  43006 ||  42003 || 1312.59 ||  84732 || || || 
|        Skein-256-384 ||   C ||   C ||  4656 ||   50 || ||  384 ||  256 ||  35861 ||  33299 || 1040.59 ||  95764 || || || 
|        Skein-256-384 || asm || asm ||  2052 ||   50 || ||  384 ||  256 ||  42999 ||  42003 || 1312.59 ||  61753 || || || 
|        Skein-256-512 ||   C ||   C ||  4656 ||   50 || ||  512 ||  256 ||  35861 ||  33299 || 1040.59 ||  95892 || || || 
|        Skein-256-512 || asm || asm ||  2052 ||   50 || ||  512 ||  256 ||  42999 ||  42003 || 1312.59 ||  61864 || || || 
|       Skein-512-1024 ||   C ||   C ||  5036 ||   82 || || 1024 ||  512 ||  64547 ||  60138 ||  939.66 || 114278 || || || 
|       Skein-512-1024 || asm || asm ||  2154 ||   82 || || 1024 ||  512 ||  30529 ||  29176 ||  455.88 ||  89645 || || || 
|        Skein-512-128 ||   C ||   C ||  5036 ||   82 || ||  128 ||  512 ||  64547 ||  60145 ||  939.77 || 120917 || || || 
|        Skein-512-128 || asm || asm ||  2154 ||   82 || ||  128 ||  512 ||  30529 ||  29176 ||  455.88 ||  59041 || || || 
|        Skein-512-160 ||   C ||   C ||  5036 ||   82 || ||  160 ||  512 ||  64547 ||  60145 ||  939.77 || 120942 || || || 
|        Skein-512-160 || asm || asm ||  2154 ||   82 || ||  160 ||  512 ||  30522 ||  29183 ||  455.98 ||  59062 || || || 
|        Skein-512-224 ||   C ||   C ||  5036 ||   82 || ||  224 ||  512 ||  64547 ||  60145 ||  939.77 || 121013 || || || 
|        Skein-512-224 || asm || asm ||  2154 ||   82 || ||  224 ||  512 ||  30529 ||  29176 ||  455.88 ||  59125 || || || 
|        Skein-512-256 ||   C ||   C ||  5036 ||   82 || ||  256 ||  512 ||  64547 ||  60138 ||  939.66 || 121045 || || || 
|        Skein-512-256 || asm || asm ||  2154 ||   82 || ||  256 ||  512 ||  30522 ||  29176 ||  455.88 ||  59153 || || || 
|        Skein-512-384 ||   C ||   C ||  5036 ||   82 || ||  384 ||  512 ||  64547 ||  60138 ||  939.66 || 121173 || || || 
|        Skein-512-384 || asm || asm ||  2154 ||   82 || ||  384 ||  512 ||  30522 ||  29183 ||  455.98 ||  59265 || || || 
|        Skein-512-512 ||   C ||   C ||  5036 ||   82 || ||  512 ||  512 ||  64547 ||  60138 ||  939.66 || 121301 || || || 
|        Skein-512-512 || asm || asm ||  2154 ||   82 || ||  512 ||  512 ||  30529 ||  29176 ||  455.88 ||  59379 || || || 
|          Twister-224 ||   C ||   C ||  3224 ||   80 || ||  224 ||  512 ||    396 ||  49217 ||  769.02 ||  56565 || || || 
|          Twister-224 || asm || asm ||  1616 ||   80 || ||  224 ||  512 ||    480 ||  36528 ||  570.75 ||  27448 || || || 
|          Twister-256 ||   C ||   C ||  3224 ||   80 || ||  256 ||  512 ||    396 ||  49217 ||  769.02 ||  56705 || || || 
|          Twister-256 || asm || asm ||  1616 ||   80 || ||  256 ||  512 ||    425 ||  36535 ||  570.86 ||  27502 || || || 
|          Twister-384 ||   C ||   C ||  3746 ||  144 || ||  384 ||  512 ||    720 ||  12670 ||  197.97 ||  78479 || || || 
